Title,Desc,Type,BodyPart,Equipment,Level,Rating
Close-grip pull-down,"The close-grip pull-down is a variation on the lat pull-down that is performed with an overhand grip and the hands slightly closer than shoulder-width apart. This increases the range of motion beyond wider grips, and may increase the time under tension in each rep. This variation is usually performed for moderate to high reps as part of a back or upper-body workout.",Strength,Lats,Cable,Intermediate,8.9
Shotgun row,"The shotgun row is a single-arm row variation utilizing a cable stack in a staggered stance. It targets the muscles of the middle back, like the lats (latissimus dorsi) and rhomboids, but also the core. It is usually performed for moderate to high-reps, at least 8-15 reps per set, in the later stages of a back or upper-body workout.",Strength,Lats,Cable,Intermediate,8.9
Close-Grip Front Lat Pulldown,"The close-grip pull-down is a variation on the lat pull-down, acable-based exercise machine that’s ubiquitous in gyms around the world. This back builder is easy to learn and highly effective, allowing for variable resistance depending on where you place the pin in the stack.",Strength,Lats,Cable,Intermediate,8.8
Straight-arm rope pull-down,"The straight-arm rope pull-down is a variation of the straight-arm lat pull-down performed using a cable stack machine and a rope grip. It can either be performed in an athletic upright stance, or slightly bent over. It both stretches and contracts the muscles of the lats (latissimus dorsi) as well as providing additional activation to the other upper back muscles and the core. Because the triceps are also isometrically involved in the movement, it is usually performed for higher reps, such as 8-15 reps or more.",Strength,Lats,Cable,Intermediate,8.7
Pullups,"The pull-up is a multi-joint bodyweight exercise that builds strength and muscle in the upper back, biceps, and core. It is often used as a measurement tool in military or tactical fitness tests, and is an excellent gauge of “relative strength” which is strength in relation to bodyweight.",Strength,Lats,Body Only,Intermediate,9.2
Pull-up,"The pull-up is a multijoint bodyweight exercise that builds strength and muscle in the upper back, biceps, and core. It is often used as a measurement tool in military or tactical fitness tests, and is an excellent gauge of ""relative strength"" which is strength in relation to body weight.",Strength,Lats,Body Only,Beginner,8.9
Rope climb,"The rope climb is an exercise that is used commonly in CrossFit workouts and as a test of upper-body strength. It was even contested at the Olympics in the early 20th century. It targets a wide range of upper-body musculature, including the hands and forearms, shoulders, biceps, lats (latissimus dorsi), and core.",Strength,Lats,Body Only,Intermediate,8.7
Barbell deficit deadlift,"The barbell deficit deadlift is a compound exercise targeting the posterior chain. It is commonly utilized in powerlifting training to build pulling strength off the floor, but is also an effective muscle-building movement for the glutes and hamstrings. It is usually performed with lighter weight, and perhaps for higher reps, than traditional deadlifts. If these make your back sore, decrease the deficit and/or wear a weightlifting belt.",Powerlifting,Lower Back,Barbell,Beginner,9.4
Back extension,"The back extension is an exercise used to build lower back strength that also targets the hamstrings and glutes. It is often performed on a 45-degree bench with the feet anchored. Unweighted back extensions are often performed for high reps, such as 15-20 reps or more, but the movement can also be performed with added weight in lower rep ranges, such as 8-12 reps per set.",Strength,Lower Back,Body Only,Intermediate,9.1
Reverse-grip bent-over row,"The reverse-grip bent-over row is a compound exercise used to build strength and size in both the lower and upper back. It targets nearly all of the muscles in the back, but particularly the lats, rhomboids, and lower back. It is thought to target the biceps and lats a bit more directly than overhand barbell rows. Because it can be loaded heavily, it is a popular movement in strength and muscle-focused upper-body workouts.",Strength,Middle Back,Barbell,Intermediate,9.2
One-Arm Long Bar Row,"The single-arm landmine bent-over row is a barbell exercise focused on the muscles of the middle back, such as the lats (latissimus dorsi) and rhomboids. It also targets the biceps and grip. It utilizes a landmine device which anchors one end of the barbell near the ground, but could also be approximated by placing the barbell in the corner of a room.",Strength,Middle Back,Barbell,Intermediate,9.0
Bent Over Barbell Row,"The barbell bent-over row is a compound exercise used to build strength and size in both the lower and upper back. It targets nearly all of the muscles in the back, but particularly the lats, rhomboids, and lower back. It is commonly utilized as an accessory movement for the deadlift in powerlifting, but is also popular in strength and muscle-focused upper-body workouts.",Strength,Middle Back,Barbell,Intermediate,8.7
One-Arm Dumbbell Row,"The single-arm bench dumbbell row is a popular exercise for building the latissimus dorsi, or lat, muscles of the back. The bench is used for support during the rowing motion.",Strength,Middle Back,Dumbbell,Intermediate,9.0
Incline dumbbell row,"The incline dumbbell row is an upper-body exercise targeting the lats (latissimus dorsi) and upper-back muscles, as well as the biceps. Performing it on an incline bench helps target the lower lats in particular. Dumbbell row variations are usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of the upper-body or back-focused portion of a workout.",Strength,Middle Back,Dumbbell,Intermediate,8.8
Alternating sit-through with crunch,"The alternating sit-through with crunch is a full-body movement that starts in a bear crawl position and ends with a leg kicked out to the side. In between reps, you perform a crunch. It is commonly performed for reps or time in bodyweight circuits and animal-style flows, but can also work on its own or as part of a dynamic warm-up or mobility sequence.",Strength,Middle Back,Other,Intermediate,8.9
Seated Cable Rows,"The cable seated row is a popular exercise to train the muscles of the upper back, including the lats (latissimus dorsi), traps, rhomboids, and rear deltoids, using a cable stack. It also targets the biceps to a lesser degree. The cable row can work well in a variety of rep-ranges, but is most popular in muscle-building workouts or as an accessory movement for strength workouts.",Strength,Middle Back,Cable,Intermediate,8.8
Upside-down pull-up,"The upside-down pull-up is an advanced bodyweight exercise that is normally performed on a pair of gymnastic rings. It involves pulling the body toward the ceiling in an inverted position. It targets the same muscles as traditional pull-ups, including the lats (latissimus dorsi), biceps, and core. However, the pulling angle is more akin to a bent-over row or upright row, depending on the angle of your hips.",Strength,Middle Back,Other,Intermediate,8.8
Seated Cable Rows,"The cable seated row is a popular exercise to train the muscles of the upper back, including the lats (latissimus dorsi), traps, rhomboids, and rear deltoids, using a cable stack. It also targets the biceps to a lesser degree. The cable row can work well in a variety of rep-ranges, but is most popular in muscle-building workouts or as an accessory movement for strength workouts.",Strength,Middle Back,Cable,Intermediate,8.8
Rower,"The rower is a popular gym machine that is serious cardiovascular work, but also targets the legs, back, and arm muscles. It's a great way build overall aerobic and muscular fitness. It is popular in CrossFit-style workouts, but is also a staple in all types of gyms. It can be equally effective for HIIT-style interval workouts or for longer-duration endurance work.",Cardio,Middle Back,Machine,Intermediate,8.9
Seated Cable Rows,"The cable seated row is a popular exercise to train the muscles of the upper back, including the lats (latissimus dorsi), traps, rhomboids, and rear deltoids, using a cable stack. It also targets the biceps to a lesser degree. The cable row can work well in a variety of rep-ranges, but is most popular in muscle-building workouts or as an accessory movement for strength workouts.",Strength,Middle Back,Cable,Intermediate,8.8
Kettlebell sumo deadlift high pull,"The kettlebell sumo deadlift high pull is a dynamic kettlebell exercise that focuses on the muscles of the posterior chain, including the hamstrings, glutes, traps, rear delts, and upper back. It can be done in lower reps for power or strength, or higher reps for conditioning and fat loss. It can also be a component of a circuit-style kettlebell workout, either for time or reps.",Strength,Traps,Kettlebells,Intermediate,8.7
Standing dumbbell shrug,"The standing dumbbell shrug is a popular movement to build and strengthen the trapezius muscles. It's often trained on a bodybuilding-style shoulder or back training day, but can also work well in full-body or strength-focused training.",Strength,Traps,Dumbbell,Intermediate,8.7
Standing dumbbell upright row,"The standing dumbbell upright row is a popular movement for building stronger and bigger traps and shoulders. Many lifters combine this move with either their back or shoulder workout, since it involves both body parts. It is generally performed for moderate to high reps, such as 8-12 reps per set or more.",Strength,Traps,Dumbbell,Intermediate,8.7
Smith machine shrug,"The Smith machine shrug is an upper-body exercise targeting the traps (trapezius muscles). It is usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of shoulder or trap-focused training.",Strength,Traps,Machine,Intermediate,9.2
Single-leg depth squat,"The single-leg depth squat is an exercise targeting the muscles of the lower body, including the quads, glutes, and hamstrings. It is sometimes used as a substitute for the pistol squat, since it doesn't demand the same level of flexibility to perform. It is usually performed for low to moderate reps with a focus on proper form and control.",Strength,Quadriceps,Bands,Intermediate,9.0
Barbell Full Squat,"The barbell back squat is a popular compound movement that emphasizes building the lower-body muscle groups and overall strength. It's the classic way to start a leg day, and is a worthy centerpiece to a lower-body training program. The squat is a competitive lift in the sport of powerlifting, but is also a classic measurement of lower-body strength. With the barbell racked on the traps or upper back, the emphasis is placed on the posterior chain but the entire body gets worked. The back squat can be trained in everything from heavy singles to sets of 20 reps or higher.",Strength,Quadriceps,Barbell,Intermediate,9.4
Barbell back squat to box,"The barbell back squat to box is a popular version of a classic lower-body exercise that utilizes a box at the bottom position of the movement. This allows the lifter to customize the depth of the squat, as well as limit the stretch reflex at the bottom of the squat. The movement targets the quadriceps, glutes, and hamstrings. The squat to box can be performed for low reps to build strength or power, or for higher reps to build muscle.",Powerlifting,Quadriceps,Barbell,Intermediate,9.3
Push-press,"The push-press is an overhead press variation in which the barbell is pushed upward with assistance from the lower body. This ""push"" helps the weight travel through the sticking point of a strict press. The push-press is commonly performed as part of barbell complexes, power training for all types of athletics, or as a powerful shoulder exercise.",Olympic Weightlifting,Quadriceps,Barbell,Intermediate,9.3
Power snatch-,"The power snatch is a full-body lift in which the bar is pulled from the floor with a wide grip to the overhead position in one movement. The bar is received in the ""power"" position, with the hips higher than a full-depth squat position. The power snatch can be used as a learning tool for the full snatch, or to train muscular power and strength on its own. It is usually performed for low reps, focusing on power and movement quality.",Olympic Weightlifting,Quadriceps,Barbell,Expert,9.3
Barbell walking lunge,"The barbell walking lunge tests your ability to maintain balance while challenging the quads, glutes, and hamstrings as well as the core muscles. Using a barbell allows you to overload the exercise. It can be performed for moderate reps, such as 8-15 per set or across the gym, or for higher reps as a conditioning and mental toughness challenge.",Strength,Quadriceps,Barbell,Intermediate,9.2
Narrow-stance squat,"The narrow-stance squat is an exercise that targets the lower body with an emphasis on the quads. Many people will find they can't go as deep in a narrow-stance squat as with a wider squat, which is normal. The narrow-stance squat can be performed for time or reps in any workout.",Strength,Quadriceps,Barbell,Expert,9.0
Barbell Squat,"The barbell back squat is a popular compound movement that emphasizes building the lower-body muscle groups and overall strength. It's the classic way to start a leg day, and is a worthy centerpiece to a lower-body training program. The squat is a competitive lift in the sport of powerlifting, but is also a classic measurement of lower-body strength. With the barbell racked on the traps or upper back, the emphasis is placed on the posterior chain but the entire body gets worked. The back squat can be trained in everything from heavy singles to sets of 20 reps or higher.",Strength,Quadriceps,Barbell,Intermediate,8.9
Barbell front squat,"The barbell front squat is a compound movement that emphasizes building the lower-body muscle groups. With the barbell racked in front of the body on the anterior delts, the front squat emphasizes the quads and glutes, but also upper back and core strength to remain upright. Front squats can be trained as an alternative to back squats, as an accessory movement for either squats or deadlifts, or for strength and muscle on their own. Many lifters and athletes prefer them to back squats, although they can be uncomfortable and difficult to learn at first.",Strength,Quadriceps,Barbell,Intermediate,8.9
Barbell forward lunge,"The barbell forward lunge is a popular lower-body exercise targeting the quads, glutes, and hamstrings. Using a barbell allows you to overload the exercise beyond body weight and perform the movement in strength or muscle-focused rep ranges. The forward lunge can be performed as part of a barbell complex, in a circuit, or on its own in the lower-body portion of any workout.",Strength,Quadriceps,Barbell,Expert,8.8
Smith machine box squat,"The Smith machine box squat is a machine-based exercise targeting the quads, glutes, and hamstrings. The Smith machine mimics a barbell but provides more stability. This movement can be programmed in low reps for strength or power or higher reps for muscle and strength endurance. It is often performed for moderate to high reps, such as 8-12 reps per set or more, as part of a full-body or lower-body workout.",Strength,Quadriceps,Barbell,Intermediate,8.8
Barbell step-up,"The barbell step-up is a great exercise for building lower-body strength and power. It targets all the same muscles as bodyweight step-ups, such as the quads, glutes, and hamstrings, but allows for greater muscular overload.",Strength,Quadriceps,Barbell,Intermediate,8.7
Goblet Squat,"The goblet squat is a popular lower-body exercise where you hold a kettlebell or dumbbell in front of your chest as if you are supporting a heavy cup or goblet. It can help lifters of all levels improve their squat technique and hip mobility, but can also work as a muscle-building or strength accessory movement for experienced athletes. It also works well in combinations, complexes, and flows with other kettlebell movements like swings, presses, and cleans.",Strength,Quadriceps,Kettlebells,Intermediate,8.7
Dumbbell Goblet Squat,"The goblet squat is a common exercise used in the early stages of learning to squat, or as a movement in general training programs for building size to the quads, glutes, and hamstrings.",Strength,Quadriceps,Dumbbell,Intermediate,8.9
Dumbbell squat,"The dumbbell squat is a classic lower-body exercise that targets the quadriceps, hamstrings, and glutes. While this variation is usually performed with relatively light weights for high reps, it can also be used as a substitute for squats or the trap-bar deadlift in any workout.",Strength,Quadriceps,Dumbbell,Intermediate,8.9
Dumbbell Lunges,"The dumbbell split squat is a popular lower-body exercise to build strength and muscle one leg at a time. It can be used to teach proper lunge form, but is also valuable on its own when trained in traditional strength-focused rep ranges, such as 5-8 reps per set, or for higher reps to build muscle or for conditioning.",Strength,Quadriceps,Dumbbell,Intermediate,8.8
Dumbbell reverse lunge,"The dumbbell reverse lunge is a popular lower-body movement that targets the muscles of the quads, glutes, hamstrings, and hips. It also works the core and upper-back muscles to maintain posture while the lower body moves. Lunge variations are often performed for moderate to high reps, such as 8-12 reps per leg or more, as part of the lower-body portion of a workout. If this movement hurts your knees, try performing split squats instead.",Strength,Quadriceps,Dumbbell,Intermediate,8.7
Tire flip,"The tire flip is an exercise that works the entire body, starting from a deadlift position and ending with a giant tire being flipped over. Each flip moves the tire farther in one direction until a set has been completed. It can be performed for time or reps as part of a functional fitness or athleticism-focused workout.",Strongman,Quadriceps,Other,Intermediate,9.4
Bear crawl sled drag,"The bear crawl sled drag is an advanced variation of the bear crawl exercise involving added resistance from a sled or other weight. If no sled is available, other viable options include dragging chain, a barbell plate, or a tire. The bear crawl sled drag is an intense full-body movement that targets the cardiovascular system as well as a wide range of muscle groups, particularly the shoulders, core, and legs. It can be done in short bursts for power or circuit training, or for longer durations as cardiovascular conditioning.",Strongman,Quadriceps,Other,Intermediate,9.0
Hex-bar deadlift,"The hex bar deadlift is a variety of deadlift performed in a hexagonal barbell also known as a trap bar. The bar is held with a parallel (palms in) grip outside of the legs. It is biomechanically different from a barbell deadlift in that it lines up with a lifter's center of gravity, rather than placing the weight in front of their body. It activates all of the same muscle groups as conventional or sumo deadlifts, including the glutes, quads, hamstrings, lower back, lats, upper back, and grip.",Strength,Quadriceps,Other,Intermediate,8.8
Single-Leg Press,"The single-leg leg press is an exercise targeting the quadriceps one leg at a time. Many lifters prefer the leg press to squatting for several reasons, including the perception that it’s safer for the spine.",Strength,Quadriceps,Machine,Intermediate,9.6
Stair climber,"The stair climber is a popular cardio machine found in most commercial gyms. Along with burning a ton of calories, the stair climber also helps build strength in the lower body, especially the glutes. It can work well at higher speeds for interval-style conditioning training, but also works well at slower paces for steady-state cardio.",Cardio,Quadriceps,Machine,Intermediate,9.1
Leg Press,The leg press is a machine exercise targeting the quadriceps. It’s favorite among lifters who prefer the seated position to standing with a load on the spine.,Strength,Quadriceps,Machine,Intermediate,8.8
Elliptical trainer,"The elliptical trainer is a popular machine for cardiovascular training without the significant impact on your joints of running. On many machines, you can adjust the resistance level to make the movement more difficult for all four limbs. The elliptical is a mainstay in most commercial gyms, and can be equally effective for HIIT-style interval workouts or for longer-duration endurance work.",Cardio,Quadriceps,Machine,Intermediate,8.8
Narrow-stance leg press,"The narrow-stance leg press is a machine-based exercise that targets the muscles of the legs. It emphasizes the quads, particularly the muscles of the outer quads and hips. It is often used as an accessory for squats, or as a muscle-building movement during lower-body training when it is usually performed for moderate to high reps, such as 8-12 reps per set or more.",Strength,Quadriceps,Machine,Intermediate,8.8
Stairmaster,"The stair climber is a popular cardio machine found in most commercial gyms. Along with burning a ton of calories, the stair climber also helps build strength in the lower body, especially the glutes. It can work well at higher speeds for interval-style conditioning training, but also works well at slower paces for steady-state cardio.",Cardio,Quadriceps,Machine,Intermediate,8.8
Smith machine back squat,"The Smith machine back squat is a machine-based exercise targeting the muscles of the lower body. The Smith machine mimics a barbell but provides more stability. This movement can be programmed in low reps for strength or higher reps for muscle and strength endurance. It is often performed for moderate to high reps, such as 8-12 reps per set or more, as part of a full-body or lower-body workout.",Strength,Quadriceps,Machine,Intermediate,8.7
Jumping rope,"Jumping rope is a classic conditioning exercise that is popular with everyone from children to boxers to CrossFit athletes. It targets many different muscles, including the calves, glutes, shoulders, and upper back, and is great for everything from fat loss to improving overall athletic performance.",Cardio,Quadriceps,Body Only,Intermediate,9.2
Forward lunge,"The forward lunge is a lower-body bodyweight exercise targeting the quads, glutes, and hamstrings. It can also be performed holding dumbbells or other weights. The forward lunge places more emphasis on the quads than other lunge variations. It can be performed for time or reps in the lower-body portion of any workout.",Strength,Quadriceps,Body Only,Intermediate,9.0
Side-to-side box skip,"The side-to-side box skip is an explosive lower-body exercise that involves jumping laterally over a bench or box, landing with one foot on top of the surface, and then switching positions. It primarily targets the muscles of the lower body, but is also a serious cardiovascular challenge. It is often performed for high reps or for time as part of a fat-loss or athleticism-focused workout or circuit.",Plyometrics,Quadriceps,Body Only,Intermediate,8.9
Bodyweight squat,"The bodyweight squat is a fundamental exercise that strengthens the quads, glutes, and hamstrings. It can be performed as part of a dynamic warm-up, for time or reps during a workout, or for hip and spine mobility any time.",Strength,Quadriceps,Body Only,Intermediate,8.8
Broad jump,"The broad jump is an explosive lower-body exercise. It is a common way to measure explosive hip and lower-body strength in athletes. The more explosive you are, the farther you'll be able to jump.",Plyometrics,Quadriceps,Body Only,Intermediate,8.8
Burpee,"The burpee is a high-intensity exercise that recruits the entire body to build strength and aerobic capacity. It is common in CrossFit workouts and group fitness classes, but can also be performed for time or reps in any fat-loss or athleticism-focused circuit or workout.",Cardio,Quadriceps,Body Only,Intermediate,8.8
Clean and press,"The clean and press is a full-body lift comprised of two movements: the clean, where the bar is pulled from the floor and caught in the front rack position in three pulls or phases, followed by the overhead press. Decades ago, it was contested in the Olympics. Today, it remains a worthy centerpiece of a power and strength training program, and has full-body benefits when done for low reps as well as moderate to high reps.",Strength,Shoulders,Barbell,Intermediate,9.4
Clean and jerk,"The clean and jerk is a full-body lift that is one of two contested lifts in Olympic weightlifting competitions. It is comprised of two movements: the clean, where the bar is pulled from the floor and caught in the front rack position in three pulls or phases, followed by the jerk overhead. The clean and jerk hits every muscle from head to toe and can be the centerpiece of a lifting program. It is also popular in CrossFit and athletic training programs. It is usually performed in low rep ranges, focusing on power and movement quality.",Olympic Weightlifting,Shoulders,Barbell,Intermediate,9.3
Military press,"The military press is a compound movement used to build size and strength in the shoulders. It was once contested as a fourth powerlift, but is rarely competed anymore. However, being able to press a significant weight overhead remains a popular marker of upper-body strength. The military press can be trained as a strength lift or in traditional muscle-building rep ranges as part of full-body, shoulder-focused, or upper-body training.",Strength,Shoulders,Barbell,Intermediate,9.3
Seated barbell shoulder press,"The seated barbell shoulder press is a classic exercise for building muscle and strength in the shoulders. The triceps also play a significant role in pressing the barbell overhead. Performing the movement seated reduces help from the lower body and decreases the risk of overextending the lumbar spine during the movement. This press variation can be the primary pressing movement on an upper-body or shoulder day, or an effective accessory movement later in a workout.",Strength,Shoulders,Barbell,Intermediate,9.2
Standing Bradford press,"The standing Bradford press is an obscure yet effective shoulder exercise that alternates front presses with behind-the-neck presses. It can be used as a warm-up for other press variations on a shoulder day, or as a muscle-building movement on its own in a shoulder or upper-body focused workout. It is usually performed for relatively high reps, such as 8-15 reps per set or higher, or just to the point of fatigue.",Strength,Shoulders,Barbell,Intermediate,8.7
Barbell Shoulder Press,"The seated barbell shoulder pressis a classic exercise for building muscle and strengthening the shoulders, particularly but not exclusively the front heads. The triceps also play a significant roles in pressing the barbell overhead.",Strength,Shoulders,Barbell,Intermediate,8.7
Single-arm kettlebell push-press,"The single-arm kettlebell push-press is a popular kettlebell movement that involves performing a press with help from the muscles of the lower body. It is preceded by a clean at the start of each set, and optionally you can perform a clean between each rep. It can be trained in traditional strength or muscle-building rep ranges, in circuit or fat-loss training, or as part of a larger kettlebell combination or complex.",Strength,Shoulders,Kettlebells,Intermediate,9.3
Dumbbell front raise to lateral raise,"The dumbbell front raise to lateral raise is a dumbbell complex that combines two exercises that build and strengthen the middle deltoids and the anterior deltoids of the shoulders. It is usually performed one rep of each movement at a time, although you could perform more reps of each, or increase the reps in successive rounds (e.g., 1 rep in round 1, 2 reps in round 2, etc.). No matter how you perform it, it targets both the anterior and medial deltoids, making it a great time-efficient shoulder burnout or accessory movement on an upper-body day.",Strength,Shoulders,Dumbbell,Intermediate,9.5
Single-arm palm-in dumbbell shoulder press,"The single-arm palm-in dumbbell shoulder press builds the shoulder muscles but with two major differences from the standard dumbbell shoulder press. It's done one arm at a time and the wrist stays neutral throughout the movement. It can be performed standing or seated. A single dumbbell press can be pursued as a strength goal, or trained in traditional muscle-building rep ranges such as 8-15 reps per set or more.",Strength,Shoulders,Dumbbell,Intermediate,9.4
Standing palms-in shoulder press,"The standing palms-in shoulder press is a dumbbell exercise targeting the shoulders. It can be performed in strength-focused rep ranges, such as 5-8 reps per set, or for higher reps to build muscle or for conditioning.",Strength,Shoulders,Dumbbell,Intermediate,9.3
Seated Dumbbell Press,"The seated dumbbell shoulder pressis an exercise for building muscle and strengthening the shoulders, particularly but not exclusively the front heads. The triceps also assist. Some lifters feel that using dumbbells versus a barbell reduced injury risk.",Strength,Shoulders,Dumbbell,Intermediate,9.1
Standing dumbbell shoulder press,"The standing dumbbell shoulder press is a classic deltoid-building exercise that is common in gyms around the world. Performing the move standing up as opposed to seated allows more weight to be used and taxes the core more than seated presses. The standing press is worthy of being the main movement in a muscle-building shoulder workout, but is also a great strength movement and accessory for the bench press.",Strength,Shoulders,Dumbbell,Intermediate,9.1
Single-arm lateral raise,"The single-arm lateral raise is a shoulder exercise that targets the medial or middle head of the deltoid muscle. It's a staple strength-training move and is a great option for accessory work on upper-body training days. Hold on to a post for balance, or do it free-standing to challenge core strength and stability. It is usually performed for moderate to high reps, at least 8-12 reps per side, as part of the upper-body or shoulder-focused portion of a workout.",Strength,Shoulders,Dumbbell,Intermediate,9.1
Incline dumbbell reverse fly,"The incline dumbbell reverse fly is an upper-body exercise targeting the posterior or rear deltoids, as well as the postural muscles of the upper back. Because it targets such small muscles, this exercise is usually performed with light weight for high reps, such as 10-15 reps per set or more.",Strength,Shoulders,Dumbbell,Intermediate,9.1
Overhead dumbbell front raise,"The overhead dumbbell front raise takes the dumbbell front raise one step further, extending the motion all the way above the head. In addition to the shoulders, it activates and strengthens the muscles of the traps and upper back. It is usually performed for moderate to high reps, such as 8-15 reps or more. It can be part of a dynamic upper-body warm-up, performed as a muscle-building upper-body movement, or as a burnout movement on shoulder day.",Strength,Shoulders,Dumbbell,Intermediate,9.1
Seated dumbbell shoulder press,"The seated dumbbell shoulder press is a popular exercise for building muscle and strength in the shoulders. The triceps also work hard in this lift. Many lifters find using dumbbells to be more comfortable and shoulder-friendly for this press variation than a barbell. This can be the primary pressing movement on an upper-body or shoulder day, or an effective accessory movement later in a workout.",Strength,Shoulders,Dumbbell,Intermediate,9.0
Alternating standing shoulder press,"The alternating standing shoulder press is a popular dumbbell exercise targeting the shoulders. It can be performed in strength-focused rep ranges, such as 5-8 reps per set, or for higher reps to build muscle or for conditioning.",Strength,Shoulders,Dumbbell,Intermediate,9.0
Single-arm incline rear delt raise,"The single-arm incline rear delt raise is an upper-body exercise targeting the posterior deltoids or shoulder muscles, as well as the postural muscles of the upper back. Training each side independently can help correct imbalances in size, strength, and shoulder stability. Because it targets such small muscles, this exercise is usually performed with light weight for high reps, such as 10-15 reps per set or more.",Strength,Shoulders,Dumbbell,Intermediate,9.0
Alternating dumbbell front raise,"The alternating dumbbell front raise is a single-joint exercise targeting the shoulder muscles, particularly the front or anterior deltoids. Performing the movement one shoulder at a time gives a momentary rest to each side while the other is working, potentially allowing you to do more reps during each set. It is usually performed for moderate to high reps, at least 8-12 reps per set, as part of an upper-body or shoulder-focused workout.",Strength,Shoulders,Dumbbell,Intermediate,9.0
Alternating Deltoid Raise,The dumbbell front raise to lateral raise combines two exercises that build and strengthen the middle deltoids and the anterior deltoids of the shoulders.,Strength,Shoulders,Dumbbell,Intermediate,9.0
Single-dumbbell front raise,"The single-dumbbell front raise is an isolation movement that targets the shoulders. In particular, it focuses on the anterior or front head of the deltoid muscles. By performing it with one dumbbell at a time, you can focus on each shoulder muscle independently and try to address muscular imbalances between shoulders. This movement is usually performed for moderate to high reps, at least 8-12 reps per set, as part of an upper-body or shoulder-focused workout.",Strength,Shoulders,Dumbbell,Intermediate,9.0
Arnold press,"Named after the iconic bodybuilder and movie star, the Arnold press adds rotation to a classic shoulder press. It allows the hands to rotate naturally, while also hitting all three heads of the deltoids in one motion. It is usually performed for moderate to high reps, such as 8-12 reps or more, as part of the upper-body or shoulder-focused portion of a workout.",Strength,Shoulders,Dumbbell,Intermediate,8.9
Single-arm standing shoulder press,"The single-arm standing shoulder press is a popular exercise to build size and strength the shoulders and triceps. Most lifters find they can go heavier (per arm) on this movement than if they are pressing two dumbbells simultaneously, making it an effective strength movement as well as a muscle-building movement in higher reps.",Strength,Shoulders,Dumbbell,Intermediate,8.8
Dumbbell front raise,"The dumbbell front raise is a single-joint exercise targeting the shoulder muscles, particularly the front or anterior deltoids. It is usually performed for moderate to high reps, at least 8-12 reps per set, as part of an upper-body or shoulder-focused workout.",Strength,Shoulders,Dumbbell,Intermediate,8.8
Bent-over dumbbell rear delt row,"The bent-over dumbbell rear delt row is a popular upper-body exercise that targets the muscles on the backside of the shoulder joint, specifically the medial and rear heads of the deltoid. Since pressing movements build the front and (to a lesser degree) side deltoid heads, this move is often done to promote balanced shoulder development. It is usually performed for high reps, such as 10-15 reps per set or more, as part of a shoulder or upper-body workout.",Strength,Shoulders,Dumbbell,Intermediate,8.7
Incline dumbbell front raise,"The incline dumbbell front raise is an upper-body exercise targeting the shoulders. Because it is performed face down on an angled bench, it has a greater range of motion than standing or upright-seated raises and hits the shoulders from a different angle. Raise variations are usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of upper-body or shoulder-focused training.",Strength,Shoulders,Dumbbell,Intermediate,8.7
Car driver,"The car driver is a variation of the plate front raise exercise where the lifter holds a weight plate in front of them and twists it from side to side, similar to a steering wheel. It targets the muscles of the shoulders, the front or anterior deltoids in particular, but is also challenging to the core and upper-back muscles. It can provide variety in a shoulder-focused muscle-building workout or as part of an upper-body or full-body circuit.",Strength,Shoulders,Other,Intermediate,9.0
Arnold press,"Named after the iconic bodybuilder and movie star, the Arnold press adds rotation to a classic shoulder press. It allows the hands to rotate naturally, while also hitting all three heads of the deltoids in one motion. It is usually performed for moderate to high reps, such as 8-12 reps or more, as part of the upper-body or shoulder-focused portion of a workout.",Strength,Shoulders,Dumbbell,Intermediate,8.9
Front Plate Raise,"The plate front raise is a variation of the dumbbell front raise where the lifter holds a weight plate between two hands, rather than using a dumbbell, barbell, or other weight. It can provide variety in a shoulder-focused muscle-building workout, or as part of an upper body or full-body circuit.",Strength,Shoulders,Other,Intermediate,8.9
Single-arm cable front raise,"The single-arm cable front raise is an isolation exercise targeting the anterior and medial deltoids or shoulder muscles. The single-arm version of this movement allows you to focus on each side independently. Because grip will be a limitation, it is usually performed for moderate to high reps, at least 8-12 reps per set, as part of an upper-body or shoulder-focused workout.",Strength,Shoulders,Cable,Intermediate,8.7
Smith machine shoulder press,"The Smith machine shoulder press is a machine-based exercise targeting the deltoid muscles. The Smith machine mimics a barbell but provides more stability. This movement can be programmed in low reps for strength or higher reps for muscle and strength endurance. It is often performed for moderate to high reps, such as 8-12 reps per set or more, as part of a shoulder or upper-body focused workout.",Strength,Shoulders,Machine,Intermediate,8.9
Machine shoulder press,"The machine shoulder press is a machine-based exercise targeting the deltoid muscles. It approximates the motion of a free-weight shoulder press, but uses a selectorized weight-stack or plate-loaded machine. Many such machines also allow you to choose between different grips and grip widths. Machine shoulder presses are often done for moderate to high reps, such as 8-12 reps per set or more, as part of the upper-body or shoulder-focused portion of a workout.",Strength,Shoulders,Machine,Intermediate,8.9
Handstand push-up,"The handstand push-up is an exercise targeting the shoulders, although other muscles assist in the completion of the reps. It is common in both CrossFit workouts and advanced bodyweight or calisthenics training. Given the degree of difficulty, beginners will need to progress to this move.",Strength,Shoulders,Body Only,Intermediate,8.7
